review_id,username,product,rating,review_text,sentiment,verified,helpful_votes
REV00001,user_0747,sunglasses,5,"Excellent sunglasses, exactly as described. Durable construction — dropped it a few times with no damage. 10/10 would recommend!",1,Verified Purchase,30
REV00002,user_0279,backpack,5,This backpack exceeded my expectations. Durable construction — dropped it a few times with no damage. Will be buying more products from this brand.,1,Verified Purchase,81
REV00003,user_0987,robot vacuum,5,Very impressed with this robot vacuum. Comfortable to use for long periods without any fatigue. 10/10 would recommend!,1,Verified Purchase,37
REV00004,user_0851,resistance bands,5,This resistance bands is worth every penny. Fits perfectly and matches exactly what was shown in the photos. A must-buy!,1,,22
REV00005,user_0227,fitness tracker,2,"Huge disappointment, expected much better from this fitness tracker. Customer support never responded to my multiple messages. Very angry and will not buy from this seller again.",0,,124
REV00006,user_0873,gaming mouse,1,"Huge disappointment, expected much better from this gaming mouse. Took forever to arrive and the item was not as described at all. Very angry and will not buy from this seller again.",0,Verified Purchase,64
REV00007,user_0707,gaming mouse,5,"Super happy with my gaming mouse purchase. Fits perfectly and matches exactly what was shown in the photos. Very satisfied, no complaints.",1,,42
REV00008,user_0909,coffee maker,2,"Huge disappointment, expected much better from this coffee maker. Took forever to arrive and the item was not as described at all. Buyer beware — stay far away.",0,,147
REV00009,user_0298,USB hub,4,"Solid USB hub, highly satisfied. Connectivity is seamless and lag-free every single time. 10/10 would recommend!",1,Verified Purchase,64
REV00010,user_0883,wireless headphones,5,Super happy with my wireless headphones purchase. The build quality is top-notch and it arrived quickly. A must-buy!,1,,18
REV00011,user_0385,earbuds,1,This earbuds stopped working after one week. The packaging was damaged and the product arrived broken. Requested a refund right away.,0,Verified Purchase,17
REV00012,user_0608,toaster oven,5,Absolutely love this toaster oven! Comfortable to use for long periods without any fatigue. 5 stars without hesitation.,1,Verified Purchase,55
REV00013,user_0204,wallet,5,"Solid wallet, highly satisfied. Fits perfectly and matches exactly what was shown in the photos. Highly recommend to anyone looking for reliability.",1,,143
REV00014,user_0983,running shoes,4,"Solid running shoes, highly satisfied. Packaging was great and the product feels premium. Will be buying more products from this brand.",1,,75
REV00015,user_0330,yoga mat,1,This yoga mat stopped working after one week. Already broke and I only used it twice — total waste of money. Do not waste your money.,0,Verified Purchase,83
REV00016,user_0369,instant pot,5,This instant pot is worth every penny. Much better than my previous one — noticeable improvement. Would definitely buy again!,1,Verified Purchase,77
REV00017,user_0568,phone case,5,"Amazing quality phone case, highly recommend. The performance quality is incredible for the price. A must-buy!",1,,10
REV00018,user_0352,screen protector,4,"Solid screen protector, highly satisfied. Much better than my previous one — noticeable improvement. Will be buying more products from this brand.",1,Verified Purchase,78
REV00019,user_0097,blender,4,"Excellent blender, exactly as described. I've been using it daily for weeks and it still works like new. Will be buying more products from this brand.",1,Verified Purchase,128
REV00020,user_0905,USB hub,4,Very impressed with this USB hub. Packaging was great and the product feels premium. 5 stars without hesitation.,1,Verified Purchase,67
REV00021,user_0995,instant pot,1,Deeply unsatisfied with this instant pot. Performance is terrible compared to competitors at the same price. Requested a refund right away.,0,Verified Purchase,66
REV00022,user_0807,coffee maker,1,Very disappointed with this coffee maker. Took forever to arrive and the item was not as described at all. Buyer beware — stay far away.,0,Verified Purchase,106
